ID,TIMESTAMP,TIME,PAIR,SIDE,PRICE,QTY($),COST($),FEE($)
157165623,1596701134176,2020-08-06T08:05:34.176Z,BTC-PERP,sell,11660.0,0.1,1166.0,0.22154
157229506,1596705865847,2020-08-06T09:24:25.847Z,BTC-PERP,sell,11752.5,0.0008,9.402000000000001,0.00535914
157283367,1596709872459,2020-08-06T10:31:12.459Z,BTC-PERP,buy,11731.5,0.0002,2.3463000000000003,0.001337391
157292279,1596710372397,2020-08-06T10:39:32.397Z,BTC-PERP,buy,11708.0,0.0003,3.5123999999999995,0.002002068
157334357,1596713689305,2020-08-06T11:34:49.305Z,BTC-PERP,sell,11739.0,0.0003,3.5216999999999996,0.002007369
157346709,1596714679359,2020-08-06T11:51:19.359Z,BTC-PERP,buy,11716.0,0.0002,2.3432,0.001335624
157358139,1596715509884,2020-08-06T12:05:09.884Z,BTC-PERP,sell,11736.0,0.0002,2.3472,0.001337904
157396079,1596717336803,2020-08-06T12:35:36.803Z,BTC-PERP,sell,11783.0,0.0004,4.7132000000000005,0.002686524
157501091,1596722365007,2020-08-06T13:59:25.007Z,BTC-PERP,sell,11873.5,0.0008,9.498800000000001,0.005414316
157518951,1596723149783,2020-08-06T14:12:29.783Z,BTC-PERP,buy,11847.0,0.0003,3.5540999999999996,0.002025837
157537481,1596724349492,2020-08-06T14:32:29.492Z,BTC-PERP,sell,11883.0,0.0004,4.7532000000000005,0.002709324
157541041,1596724559636,2020-08-06T14:35:59.636Z,BTC-PERP,buy,11867.0,0.0002,2.3734,0.001352838
157557573,1596725498699,2020-08-06T14:51:38.699Z,BTC-PERP,buy,11760.0,0.0008,9.408000000000001,0.00536256
157566609,1596725920127,2020-08-06T14:58:40.127Z,BTC-PERP,sell,11817.5,0.0004,4.727,0.00269439
157576241,1596726336851,2020-08-06T15:05:36.851Z,BTC-PERP,sell,11864.5,0.0004,4.7458,0.002705106
157613787,1596727896507,2020-08-06T15:31:36.507Z,BTC-PERP,buy,11844.0,0.0002,2.3688000000000002,0.001350216
157656231,1596729980777,2020-08-06T16:06:20.777Z,BTC-PERP,sell,11874.0,0.0003,3.5622,0.002030454
